stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:DUA8754550,"SAINT-CHERON",,48.55142635,2.12510536,,,1,
StopArea:DUA8754551,"SERMAISE",,48.53559386,2.06959912,,,1,
StopArea:DUA8754017,"DOURDAN LA FORET",,48.53561753,1.99588547,,,1,
StopArea:DUA8754320,"AVENUE DU PRESIDENT KENNEDY - Maison de Radio France",,48.85319742,2.28043013,,,1,
StopArea:DUA8754318,"BOULAINVILLIERS",,48.85761298,2.27482477,,,1,
StopArea:DUA8738104,"AVENUE HENRI MARTIN",,48.86431116,2.27294553,,,1,
StopArea:DUA8738103,"AVENUE FOCH",,48.87082037,2.275086,,,1,
StopArea:DUA8754535,"SAINT-MARTIN D'ETAMPES",,48.42801624,2.14516323,,,1,
StopArea:DUA8738265,"CERGY LE HAUT",,49.04772229,2.01072806,,,1,
StopArea:DUA8738249,"CERGY SAINT-CHRISTOPHE",,49.04980226,2.03445901,,,1,
StopArea:DUA8738190,"CERGY PREFECTURE",,49.03637873,2.08032511,,,1,
StopArea:DUA8733448,"NEUVILLE UNIVERSITE",,49.0147079,2.07950246,,,1,
StopArea:DUA8738165,"ACHERES VILLE",,48.96994001,2.07710745,,,1,
StopArea:DUA8738642,"MAISONS LAFFITTE",,48.94569219,2.14455511,,,1,
StopArea:DUA8738641,"SARTROUVILLE",,48.93794699,2.1581215,,,1,
StopArea:DUA8738640,"HOUILLES CARRIERES SUR SEINE",,48.91955906,2.18573687,,,1,
StopArea:DUA8775802,"NANTERRE PREFECTURE",,48.89597011,2.22265736,,,1,
StopArea:DUA8738221,"LA DEFENSE GRANDE ARCHE",,48.89192015,2.23805415,,,1,
StopArea:DUA8775800,"CHARLES DE GAULLE ETOILE",,48.8739017,2.29507578,,,1,
StopArea:DUA8775859,"AUBER",,48.87226901,2.33031865,,,1,
StopArea:DUA8775810,"NATION",,48.84837168,2.39652238,,,1,
StopArea:DUA8775811,"VINCENNES",,48.84803696,2.43339003,,,1,
StopArea:DUA8711371,"VAL DE FONTENAY",,48.85317023,2.48797802,,,1,
StopArea:DUA8743317,"NEUILLY PLAISANCE",,48.85304551,2.51467172,,,1,
StopArea:DUA8775832,"BRY SUR MARNE",,48.8441791,2.52604287,,,1,
StopArea:DUA8775833,"NOISY LE GRAND MONT D'EST",,48.84105064,2.54870218,,,1,
StopArea:DUA8775834,"NOISY CHAMPS",,48.84263601,2.57813452,,,1,
StopArea:DUA8775835,"NOISIEL",,48.84397208,2.61556509,,,1,
StopArea:DUA8775836,"LOGNES",,48.83899482,2.63329257,,,1,
StopArea:DUA8775837,"TORCY",,48.83919028,2.6559362,,,1,
StopArea:DUA8775498,"BUSSY ST GEORGES",,48.8365401,2.70893675,,,1,
StopArea:DUA8773006,"VAL D'EUROPE",,48.85517496,2.77363916,,,1,
StopArea:DUA8775499,"MARNE LA VALLEE CHESSY",,48.87187668,2.78257683,,,1,
